Modelo,Tipo,Features,Accuracy,Precision (Media),Recall (Media),F1 (Media),Silhouette
RandomForest,Supervisado,Todas,0.885593220338983,0.5368589743589743,0.5475188161755326,0.5420976741270139,
GradientBoosting,Supervisado,Todas,0.826271186440678,0.4859418931583879,0.5243015690776884,0.5021240077236645,
SVM,Supervisado,Todas,0.5,0.4148203272882702,0.5846621592890249,0.37940064708332,
KNN,Supervisado,Todas,0.597457627118644,0.44540860963808093,0.5985882553046733,0.43882064923295583,
LogisticRegression,Supervisado,Todas,0.5889830508474576,0.4902457006270566,0.7348939065356975,0.4756170942602065,
KMeans,No Supervisado,Todas,,,,,0.155635520944386
